@cycle_counter=0 	HTRANS= 	HTRANS=xx 	HBURST= 	HSIZE= 	burst_length=x 	HWRITE=x 	HADDR=xxxxxxxx 	HWDATA=xxxxxxxxxxxxxxxx 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxxxxxxxxxxxxxx 	data_buffer=xxxxxxxxxxxxxxxx 	@local_cycle_counter=0 
@cycle_counter=1 	HTRANS= 	HTRANS=xx 	HBURST= 	HSIZE= 	burst_length=x 	HWRITE=x 	HADDR=xxxxxxxx 	HWDATA=xxxxxxxxxxxxxxxx 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxxxxxxxxxxxxxx 	data_buffer=xxxxxxxxxxxxxxxx 	@local_cycle_counter=0 
@cycle_counter=2 	HTRANS= 	HTRANS=xx 	HBURST= 	HSIZE= 	burst_length=x 	HWRITE=x 	HADDR=xxxxxxxx 	HWDATA=xxxxxxxxxxxxxxxx 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxxxxxxxxxxxxxx 	data_buffer=xxxxxxxxxxxxxxxx 	@local_cycle_counter=0 
@cycle_counter=3 	HTRANS= 	HTRANS=xx 	HBURST= 	HSIZE= 	burst_length=x 	HWRITE=x 	HADDR=xxxxxxxx 	HWDATA=xxxxxxxxxxxxxxxx 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxxxxxxxxxxxxxx 	data_buffer=xxxxxxxxxxxxxxxx 	@local_cycle_counter=0 

@cycle_counter=4 	HTRANS=IDLE 	HTRANS=00 	HBURST=SINGLE 	HSIZE=Byte 	burst_length=0 	HWRITE=x 	HADDR=xxxxxxxx 	HWDATA=xxxxxxxxxxxxxxxx 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxxxxxxxxxxxxxx 	data_buffer=xxxxxxxxxxxxxxxx 	@local_cycle_counter=0 

@cycle_counter=5 	HTRANS=NONSEQ 	HTRANS=10 	HBURST=INCR4 	HSIZE=Word 	burst_length=4 	HWRITE=1 	HADDR=00000000 	HWDATA=xxxxxxxxxxxxxxxx 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxxxxxx03020100 	data_buffer=xxxxxxxxxxxxxxxx 	@local_cycle_counter=1 
@cycle_counter=6 	HTRANS=SEQ 	HTRANS=11 	HBURST=INCR4 	HSIZE=Word 	burst_length=4 	HWRITE=1 	HADDR=00000004 	HWDATA=xxxxxxxx03020100 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=0f0e0d0cxxxxxxxx 	data_buffer=xxxxxxxx03020100 	@local_cycle_counter=2 
@cycle_counter=7 	HTRANS=SEQ 	HTRANS=11 	HBURST=INCR4 	HSIZE=Word 	burst_length=4 	HWRITE=1 	HADDR=00000008 	HWDATA=0f0e0d0cxxxxxxxx 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxxxxxx13121110 	data_buffer=0f0e0d0cxxxxxxxx 	@local_cycle_counter=3 
@cycle_counter=8 	HTRANS=SEQ 	HTRANS=11 	HBURST=INCR4 	HSIZE=Word 	burst_length=4 	HWRITE=1 	HADDR=0000000c 	HWDATA=xxxxxxxx13121110 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=1f1e1d1cxxxxxxxx 	data_buffer=xxxxxxxx13121110 	@local_cycle_counter=4 
