@cycle_counter=0 	HTRANS=IDLE 	HBURST=SINGLE 	HSIZE=Byte 	burst_length=1 	HWRITE=0 	HADDR=00000000 	HREADY=1 	HWDATA=0000000000000000 	data_phase=0

@cycle_counter=1 	HTRANS=NONSEQ 	HBURST=INCR8 	HSIZE=Word 	burst_length=8 	HWRITE=1 	HADDR=00000000 	HREADY=1 	HWDATA=0000000000000000 	data_phase=0
@cycle_counter=2 	HTRANS=SEQ 	HBURST=INCR8 	HSIZE=Word 	burst_length=8 	HWRITE=1 	HADDR=00000004 	HREADY=0 	HWDATA=xxxxxxxx03020100 	data_phase=1
@cycle_counter=3 	HTRANS=SEQ 	HBURST=INCR8 	HSIZE=Word 	burst_length=8 	HWRITE=1 	HADDR=00000004 	HREADY=0 	HWDATA=0000000000000000 	data_phase=0
@cycle_counter=4 	HTRANS=SEQ 	HBURST=INCR8 	HSIZE=Word 	burst_length=8 	HWRITE=1 	HADDR=00000004 	HREADY=0 	HWDATA=0000000000000000 	data_phase=0
@cycle_counter=5 	HTRANS=SEQ 	HBURST=INCR8 	HSIZE=Word 	burst_length=8 	HWRITE=1 	HADDR=00000004 	HREADY=1 	HWDATA=0000000000000000 	data_phase=0
@cycle_counter=6 	HTRANS=SEQ 	HBURST=INCR8 	HSIZE=Word 	burst_length=8 	HWRITE=1 	HADDR=00000008 	HREADY=0 	HWDATA=0f0e0d0cxxxxxxxx 	data_phase=1
@cycle_counter=7 	HTRANS=SEQ 	HBURST=INCR8 	HSIZE=Word 	burst_length=8 	HWRITE=1 	HADDR=00000008 	HREADY=0 	HWDATA=0000000000000000 	data_phase=0
@cycle_counter=8 	HTRANS=SEQ 	HBURST=INCR8 	HSIZE=Word 	burst_length=8 	HWRITE=1 	HADDR=00000008 	HREADY=0 	HWDATA=0000000000000000 	data_phase=0
@cycle_counter=9 	HTRANS=SEQ 	HBURST=INCR8 	HSIZE=Word 	burst_length=8 	HWRITE=1 	HADDR=00000008 	HREADY=1 	HWDATA=0000000000000000 	data_phase=0
@cycle_counter=10 	HTRANS=SEQ 	HBURST=INCR8 	HSIZE=Word 	burst_length=8 	HWRITE=1 	HADDR=0000000c 	HREADY=0 	HWDATA=xxxxxxxx13121110 	data_phase=1
@cycle_counter=11 	HTRANS=SEQ 	HBURST=INCR8 	HSIZE=Word 	burst_length=8 	HWRITE=1 	HADDR=0000000c 	HREADY=0 	HWDATA=0000000000000000 	data_phase=0
@cycle_counter=12 	HTRANS=SEQ 	HBURST=INCR8 	HSIZE=Word 	burst_length=8 	HWRITE=1 	HADDR=0000000c 	HREADY=0 	HWDATA=0000000000000000 	data_phase=0
@cycle_counter=13 	HTRANS=SEQ 	HBURST=INCR8 	HSIZE=Word 	burst_length=8 	HWRITE=1 	HADDR=0000000c 	HREADY=1 	HWDATA=0000000000000000 	data_phase=0
@cycle_counter=14 	HTRANS=SEQ 	HBURST=INCR8 	HSIZE=Word 	burst_length=8 	HWRITE=1 	HADDR=00000010 	HREADY=0 	HWDATA=1f1e1d1cxxxxxxxx 	data_phase=1
@cycle_counter=15 	HTRANS=SEQ 	HBURST=INCR8 	HSIZE=Word 	burst_length=8 	HWRITE=1 	HADDR=00000010 	HREADY=0 	HWDATA=0000000000000000 	data_phase=0
@cycle_counter=16 	HTRANS=SEQ 	HBURST=INCR8 	HSIZE=Word 	burst_length=8 	HWRITE=1 	HADDR=00000010 	HREADY=0 	HWDATA=0000000000000000 	data_phase=0
@cycle_counter=17 	HTRANS=SEQ 	HBURST=INCR8 	HSIZE=Word 	burst_length=8 	HWRITE=1 	HADDR=00000010 	HREADY=1 	HWDATA=0000000000000000 	data_phase=0
@cycle_counter=18 	HTRANS=SEQ 	HBURST=INCR8 	HSIZE=Word 	burst_length=8 	HWRITE=1 	HADDR=00000014 	HREADY=0 	HWDATA=xxxxxxxx23222120 	data_phase=1
@cycle_counter=19 	HTRANS=SEQ 	HBURST=INCR8 	HSIZE=Word 	burst_length=8 	HWRITE=1 	HADDR=00000014 	HREADY=0 	HWDATA=0000000000000000 	data_phase=0
@cycle_counter=20 	HTRANS=SEQ 	HBURST=INCR8 	HSIZE=Word 	burst_length=8 	HWRITE=1 	HADDR=00000014 	HREADY=0 	HWDATA=0000000000000000 	data_phase=0
@cycle_counter=21 	HTRANS=SEQ 	HBURST=INCR8 	HSIZE=Word 	burst_length=8 	HWRITE=1 	HADDR=00000014 	HREADY=1 	HWDATA=0000000000000000 	data_phase=0
